========================================================================
  PRESSCO21 품절/미진열 상품 리포트 (수정본)
  생성일: 2026-04-03
  판별 기준: options.basic[].sto_state_code = SOLDOUT/STOP
========================================================================

  ■ 진열중 전체 상품:  4,693개
  ■ 판매중 (SALE):     4,271개
  ■ 실제 품절:           422개  ← 이 리스트
    - 개인결제건:          1개 (무시)
    - 일반 상품:           421개 ← 확인 필요

========================================================================
  [품절 상품 — 대분류별]
  → 잘못 품절된 상품은 라이브 전환하세요!
========================================================================

▶ 기타 — 47개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      355067        160원  [레진공예]스페이드열쇠/1540 [강사공간]

▶ 목걸이 — 20개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      251133     15,000원  자개고양이목걸이/비즈줄 (단종예정) [압화]
      147792     15,000원  137목걸이/갈색줄 [압화]
        6570     13,000원  나뭇잎목걸이/베이지 (단종예정) [압화]
      147794     12,000원  137목걸이/갈색줄 [강사공간]
        6616     10,000원  마름모별큐빅목걸이 [압화]
        6423      9,000원  투원큐빅목걸이 [압화]
        6420      9,000원  나뭇잎큐빅목걸이 [압화]
        6617      8,000원  마름모별큐빅목걸이 [강사공간]
        6441      7,200원  나뭇잎큐빅목걸이 [강사공간]
        6444      7,200원  투원큐빅목걸이 [강사공간]
      307955      7,000원  타원직사각목걸이 [압화]
      307923      5,600원  타원직사각목걸이 [강사공간]
         427      5,600원  당초타원목걸이 [압화]
    11697476      5,000원  안경걸이/마스크스트랩 [압화]
    11697482      4,500원  안경걸이/마스크스트랩 [강사공간]
     1154291      4,000원  미니목걸이/이중원하트큐빅 [압화]
     1154281      3,000원  미니목걸이/아이러브원하트 [압화]
        4406      3,000원  k시리즈목걸이/타원 [강사공간]
        1856      3,000원  k시리즈목걸이/타원 [압화]
     1154361      2,500원  마스크스트랩/체인/아크릴 [압화]

▶ 서적 — 17개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
     1152384     33,000원  창조전 제 16회 [강사공간]
      339707     32,000원  창조전 제 11회 [강사공간]
      310212     32,000원  창조전 제 7회 [강사공간]
        6534     31,200원  압화칼라코디네이션 [강사공간]
      310210     30,000원  창조전 제 5회 [강사공간]
     1154054     20,000원  나의꽃생활 No.100 [강사공간]
        5427     17,320원  서적...庭의 押花 [강사공간]
     1154048     17,000원  나의꽃생활 No.98 [강사공간]
      372836     14,000원  나의꽃생활 No.91 [강사공간]
      357010     14,000원  나의꽃생활 No.85 [강사공간]
      352706     14,000원  나의꽃생활 No.84 [강사공간]
      348671     14,000원  나의꽃생활 No.82 [강사공간]
      346306     14,000원  나의꽃생활 No.81 [강사공간]
      342285     14,000원  나의꽃생활 No.79 [강사공간]
      339712     14,000원  나의꽃생활 No.78 [강사공간]
      311409     14,000원  나의꽃생활 No.75 [강사공간]
      308454     12,000원  나만의 프레스플라워/크라운출판사 [강사공간]

▶ 관련 서적 — 17개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
        6533     39,000원  압화칼라코디네이션 [압화]
      339701     36,000원  창조전 제 11회 [압화]
      310205     36,000원  창조전 제 7회 [압화]
     1152381     33,000원  창조전 제 16회 [압화]
      310203     33,000원  창조전 제 5회 [압화]
        6810     29,000원  압화배열 디자인 [압화]
     1154052     20,000원  나의꽃생활 No.100 [압화]
        5403     17,320원  서적...庭의 押花 [압화]
      372834     14,500원  나의꽃생활 No.91 [압화]
      357008     14,500원  나의꽃생활 No.85 [압화]
      352705     14,500원  나의꽃생활 No.84 [압화]
      348672     14,500원  나의꽃생활 No.82 [압화]
      346305     14,500원  나의꽃생활 No.81 [압화]
      342284     14,500원  나의꽃생활 No.79 [압화]
      339699     14,500원  나의꽃생활 No.78 [압화]
      311408     14,500원  나의꽃생활 No.75 [압화]
      308453     13,500원  나만의 프레스플라워/크라운출판사 [압화]

▶ 반제품 — 15개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      363657     26,000원  보존화/사진액자 [드라이&프리저브드 플라]
      367958     23,700원  선물포장케이스/30개묶음/大/B형 [MYPOOL 상품]
      347628     20,000원  보존화용직사각액자/500*120*60mm [드라이&프리저브드 플라]
