prdNo,prdNm,sellerPrdCd,selStatCd,selStatNm,selPrc,cuponcheck,dscAmtPercnt,cupnDscMthdCd,cupnUseLmtDyYn,cupnIssEndDy,estimated_discounted_price
8236627873,프레스코21 압화 미니아디안텀 일본산 10p,,103,판매중,15000,Y,5500,01,Y,9999-12-31 23:59:59.0,9500
8236625363,압화 압화꽃 꽃송이 조화 누름꽃 벚꽃 프레스코21 프리미엄 일본 압화 모음 올라야 5색,,103,판매중,22000,Y,7000,01,Y,9999-12-31 23:59:59.0,15000
8236624165,프레스코21 레진 공예 UV컬러레진 클리어옐로우 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236623234,프레스코21 압화 메쉬천 10매 M사이즈 흰색 국내산,,103,판매중,6500,Y,1000,01,Y,9999-12-31 23:59:59.0,5500
8236623308,프레스코21 레진공예 New UV착색제 14종,1150,103,판매중,3000,Y,1500,01,Y,9999-12-31 23:59:59.0,1500
8236633653,프레스코21 진공마감액자 전용 진공 흡입기 대형,,103,판매중,200000,Y,20000,01,Y,9999-12-31 23:59:59.0,180000
8236625303,고체 하바리움 용액 용기 만들기 부케 기프트 100G,1171,103,판매중,42000,Y,38500,01,Y,9999-12-31 23:59:59.0,3500
8236627189,프레스코21 LED 고정형 옆버튼 유리돔 노란불,1014,103,판매중,15000,Y,2000,01,Y,9999-12-31 23:59:59.0,13000
8236625192,프레스코21 압화 물매화 국내산 자연,,103,판매중,18000,Y,6000,01,Y,9999-12-31 23:59:59.0,12000
8236625218,프레스코21 레진 공예 UV컬러레진 밀키그린 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236633638,프레스코21 스마트톡/DIY용 (명판포함),1150,103,판매중,1000,Y,50,02,Y,9999-12-31 23:59:59.0,500
8236623757,프레스코21 레진 공예 육각 보석함,,103,판매중,9000,Y,1000,01,Y,9999-12-31 23:59:59.0,8000
8236623137,프레스코21 부케액자 압화액자 부케말리기 선물 만들기 키트 원목 DIY,,103,판매중,70000,Y,10000,01,Y,9999-12-31 23:59:59.0,60000
8236623184,프레스코21 NEW UV컬러레진 25g 공예용 색상선택 레진아트재료,1150,103,판매중,11000,Y,2000,01,Y,9999-12-31 23:59:59.0,9000
8236623185,프레스코21 레진 공예 UV컬러레진 로즈레드 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236627125,프레스코21 압화 만들기 종이연필꽂이 배경지 필름지 포함,1014,103,판매중,3500,Y,1000,01,Y,9999-12-31 23:59:59.0,2500
8236625550,프레스코21 레진 공예 UV컬러레진 초콜릿 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236624184,프레스코21 압화 고급 일본산 산모자,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
